,0,2,3
0,nbhBRhZtdaZmMMeb2i02pg,-79.4904331,43.7818155
1,clU62-alZxOzCyONoiCpYw,9.2294819037,48.8129353474
2,2B46bRpDh49eDyjXGhL_ZQ,-115.2799398,36.1272273
3,UDucqwO8PwUOwcmUsJ-gOA,-112.0479137,33.4500392
4,Lvg2y48cv7xFUJBqoUXmvw,-89.3457212,43.102869
5,Ibd9jfvPecU18-7ocb-1yA,-111.6838716,33.3925994
6,WG3zvUktE1l3llwq3PPVVg,-81.7039616,41.4852567
7,BJ2lc7stoj6WniXZJjswMA,-73.7984177,45.4814708
8,BhUDq-HSrqMFfR03V2FoQQ,-79.401749,43.657976
9,XaMhnNJqHlYdjky-zgHG_Q,-112.026018463,33.4574026317
10,Noz9c7zcgJPKyi49DoXNRA,-112.276615,33.5662639
11,bTujyZXBsirvchqjVP_S7w,-89.5204113,42.9946221
12,2NQP9AyWorsGuDm_jGd1Qg,-79.2760807648,43.7561237401
13,8nLxiZc7vr_GI6GcFhWc0g,-79.9255146,40.4583902
14,QeEYzgBVTVO8IGqGCfPg8A,-81.8657379,41.441525
15,46hnat0aLao-qYWZkN9aBg,-112.073681,33.367178
16,C7h7-nQhpaP31u07IJEufw,9.1618,48.7226
17,67sq73gTdgHN0atGtIgDtA,-112.1498845,33.5823628
18,1uAZaTHYn9rqTFtOl3sDEQ,-81.4400853,41.3845937
19,kTrQRuKGJ_DYz2b-kIJdGw,-81.8361712,41.2938497
20,Ue6-WhXvI-_1xUIuapl0zQ,-112.280902,33.465172
21,0oOTrzxhO3FxHqmeZuC3mw,-112.1356862,33.6382898
22,tiHikiOlWAm6RqGnRBc9SA,-80.738818,35.296079
23,ITRBrOOVQJEgc5dbxV1Bbw,-112.2652084,33.4508912
24,B6dxBfVs2M4v0NylQH_OvA,-2.8926361,53.1894123
25,8cV0JQ4iNx8WdkwznhMc2g,-73.553193,45.507285
26,4iuFGkrZYnWZgOaxNantdw,-81.190312,41.583577
27,tSiR_cl3GBrTZUbEvkZ2XA,-80.0448525,40.5145014
28,S8_W8gxq1I5r61iiy_Xt0w,-79.3746797,43.6497601
29,53-Y3Jw20QV6TeDkRjSyJQ,-80.0053074,40.4268504
30,gFqLYzm_erOkjDwedVE7QA,-111.874052,33.413333
31,WNnkyVvBfY1vTqiqSufZQA,-79.399363,43.7114211
32,WGRpmHGkPxBnQ8HOZM7QLQ,-80.1276658875,40.2656264794
33,Qig2s52xszWv3kQMoVr8YA,-3.2044048,55.9800469
34,bUEc1ZDgfZPymHyUXEiiNg,-115.1734184,36.1617046
35,3bVc_IDRyAXpg__qkEEXyw,-73.5801746,45.4974835
